#! cv1.ncl
0.000000 0.000000
2.500000 0.000000
5.000000 0.000000
7.500000 0.098606
10.000000 0.098930
12.500000 0.196430
15.000000 0.185940
17.500000 0.293248
20.000000 0.291418
22.500000 0.392004
25.000000 0.373460
27.500000 0.487093
30.000000 0.480112
32.500000 0.584423
35.000000 0.519379
37.500000 0.625086
40.000000 0.580647
42.500000 0.716449
45.000000 0.644328
47.500000 0.701102
50.000000 0.767773
52.500000 0.692789
55.000000 0.762439
57.500000 0.828410
60.000000 0.840202
62.500000 1.047906
65.000000 0.932483
67.500000 1.043497
70.000000 0.923505
72.500000 1.113080
75.000000 1.035791
77.500000 1.054832
80.000000 0.858690
82.500000 0.971155
85.000000 1.022090
87.500000 1.107440
90.000000 1.157996
92.500000 1.141384
95.000000 1.117331
97.500000 1.413450
100.000000 1.407300
102.500000 1.336560
105.000000 1.583686
107.500000 1.551421
110.000000 1.581676
112.500000 1.705891
115.000000 1.539888
117.500000 1.790181
120.000000 1.642512
122.500000 1.590039
125.000000 1.660907
127.500000 1.397049
130.000000 1.406386
132.500000 1.411036
135.000000 1.849066
137.500000 1.607291
140.000000 1.829748
142.500000 1.763348
145.000000 1.980635
147.500000 1.973886
150.000000 2.012867
152.500000 1.993112
155.000000 1.915236
157.500000 1.825851
160.000000 1.945982
162.500000 1.816126
165.000000 1.807799
167.500000 1.657472
170.000000 0.932171
172.500000 1.461034
175.000000 1.229634
177.500000 1.246260
180.000000 1.247339
182.500000 1.158201
185.000000 1.627895
187.500000 1.520659
190.000000 1.615854
192.500000 1.760348
195.000000 1.916676
197.500000 1.703818
200.000000 0.962757
202.500000 1.743331
205.000000 1.491094
207.500000 1.318670
210.000000 1.467524
212.500000 1.598460
215.000000 1.692219
217.500000 1.513802
220.000000 1.853307
222.500000 1.447011
225.000000 1.236963
227.500000 0.914181
230.000000 1.328671
232.500000 1.520863
235.000000 1.842638
237.500000 1.678279
240.000000 1.546609
242.500000 1.034650
245.000000 1.515182
247.500000 1.964990
250.000000 1.461732
252.500000 1.229531
255.000000 1.222294
257.500000 1.951996
260.000000 1.650790
262.500000 1.116806
265.000000 1.341196
267.500000 1.243364
270.000000 1.719077
272.500000 1.102374
275.000000 1.758257
277.500000 1.558013
280.000000 1.166738
282.500000 0.985136
285.000000 1.737851
287.500000 1.527083
290.000000 1.981560
292.500000 1.352392
295.000000 1.943250
297.500000 1.338506
300.000000 1.084336
302.500000 1.516298
305.000000 1.042922
307.500000 1.883930
310.000000 1.711496
312.500000 1.912643
315.000000 1.757236
317.500000 1.798368
320.000000 1.400295
322.500000 1.363528
325.000000 1.293071
327.500000 1.457693
330.000000 1.888553
332.500000 1.975296
335.000000 1.576560
337.500000 1.055087
340.000000 1.451722
342.500000 0.898813
345.000000 1.262262
347.500000 1.212885
350.000000 1.812459
352.500000 1.855813
355.000000 1.572672
357.500000 1.843605
360.000000 1.868352
362.500000 1.474818
365.000000 2.436775
367.500000 1.532001
370.000000 2.039691
372.500000 2.148547
375.000000 1.374787
377.500000 1.184300
380.000000 2.074500
382.500000 2.709694
385.000000 1.744511
387.500000 1.694936
390.000000 1.342191
392.500000 2.367749
395.000000 2.982542
397.500000 2.801117
400.000000 2.327508
402.500000 2.324014
405.000000 2.336221
407.500000 3.062707
410.000000 2.746141
412.500000 2.042840
415.000000 3.030266
417.500000 3.269777
420.000000 3.439712
422.500000 3.096030
425.000000 3.569020
427.500000 3.508224
430.000000 3.445387
432.500000 3.711642
435.000000 2.607499
437.500000 3.002453
440.000000 2.980413
442.500000 2.769905
445.000000 3.145673
447.500000 3.419175
450.000000 2.996124
452.500000 2.851914
455.000000 3.398686
457.500000 2.889105
460.000000 3.353397
462.500000 2.965528
465.000000 2.726929
467.500000 2.008010
470.000000 1.323399
472.500000 3.378213
475.000000 2.061143
477.500000 2.732546
480.000000 2.128157
482.500000 1.314200
485.000000 2.103022
487.500000 3.537874
490.000000 3.417341
492.500000 2.761351
495.000000 3.407361
497.500000 2.682794
500.000000 4.064195
502.500000 3.832132
505.000000 4.448660
507.500000 4.462680
510.000000 3.631353
512.500000 2.844853
515.000000 3.080673
517.500000 4.247828
520.000000 4.618031
522.500000 4.119312
525.000000 3.880341
527.500000 4.594474
530.000000 4.803389
532.500000 3.483795
535.000000 4.313005
537.500000 3.491112
540.000000 3.493382
542.500000 4.060634
545.000000 4.901292
547.500000 4.898501
550.000000 4.210178
552.500000 3.953035
555.000000 4.694939
557.500000 4.598390
560.000000 5.201945
562.500000 5.280945
565.000000 4.797983
567.500000 4.511411
570.000000 4.638676
572.500000 3.218415
575.000000 4.645125
577.500000 4.135176
580.000000 4.634458
582.500000 3.162566
585.000000 2.965790
587.500000 3.382732
590.000000 5.098712
592.500000 4.602341
595.000000 4.622045
597.500000 4.024752
600.000000 2.829012
602.500000 1.572061
605.000000 1.631067
607.500000 4.253229
610.000000 1.600680
612.500000 2.652335
615.000000 3.208548
617.500000 4.397727
620.000000 5.109098
622.500000 5.007293
625.000000 3.993505
627.500000 2.795322
630.000000 3.232576
632.500000 4.976175
635.000000 3.852459
637.500000 4.611316
640.000000 5.001972
642.500000 4.785631
645.000000 2.124847
647.500000 3.387041
650.000000 5.032677
652.500000 2.648393
655.000000 1.588862
657.500000 2.112239
660.000000 3.901356
662.500000 3.178699
665.000000 3.875179
667.500000 5.440842
670.000000 4.170162
672.500000 4.332661
675.000000 5.191312
677.500000 5.798364
680.000000 4.188282
682.500000 1.377198
685.000000 5.775472
687.500000 5.000877
690.000000 2.049769
692.500000 3.661069
695.000000 4.059011
697.500000 4.671198
700.000000 5.287067
702.500000 2.640548
705.000000 3.595149
707.500000 4.118610
710.000000 5.250613
712.500000 5.100967
715.000000 6.101186
717.500000 4.702329
720.000000 5.121187
722.500000 4.413008
725.000000 3.872051
727.500000 6.030889
730.000000 6.614383
732.500000 6.258739
735.000000 6.111320
737.500000 6.644266
740.000000 6.880792
742.500000 7.091268
745.000000 7.038985
747.500000 4.736892
750.000000 5.880085
752.500000 5.988953
755.000000 5.650608
757.500000 6.336730
760.000000 7.180658
762.500000 4.542397
765.000000 6.015843
767.500000 5.784511
770.000000 5.809382
772.500000 4.838121
775.000000 7.003617
777.500000 6.077779
780.000000 7.235734
782.500000 7.275154
785.000000 4.134696
787.500000 5.873130
790.000000 7.522393
792.500000 6.991573
795.000000 3.634852
797.500000 6.758347
800.000000 6.097539
802.500000 6.396365
805.000000 7.716817
