#! res.bias res.work
0.000000 0.641148 0.000253
2.500000 1.491348 0.000079
5.000000 0.557992 0.000050
7.500000 0.540813 0.000027
10.000000 0.341342 0.000043
12.500000 0.274499 0.000030
15.000000 0.313354 0.000041
17.500000 0.441144 0.000043
20.000000 0.555927 0.000062
22.500000 0.547012 0.000025
25.000000 0.402992 0.000025
27.500000 0.387708 0.000042
30.000000 0.355599 0.000030
32.500000 0.666946 0.000057
35.000000 1.513849 0.000049
37.500000 0.937850 0.000064
40.000000 1.041097 0.000054
42.500000 0.879498 0.000089
45.000000 0.939132 0.000159
47.500000 1.369750 0.000076
50.000000 0.988520 0.000064
52.500000 0.957182 0.000096
55.000000 0.909272 0.000078
57.500000 1.337306 0.000081
60.000000 1.085557 0.000044
62.500000 0.924643 0.000052
65.000000 0.939061 0.000066
67.500000 1.358980 0.000072
70.000000 1.938604 0.000172
72.500000 2.713357 0.000252
75.000000 2.913422 0.000092
77.500000 3.370747 0.000081
80.000000 3.898557 0.000057
82.500000 2.814098 0.000050
85.000000 2.001737 0.000113
87.500000 1.998976 0.000118
90.000000 2.263442 0.000050
92.500000 2.976845 0.000037
95.000000 2.357726 0.000061
97.500000 2.984123 0.000141
100.000000 3.221841 0.000104
102.500000 2.894490 0.000091
105.000000 2.296564 0.000117
107.500000 2.057512 0.000080
110.000000 2.237698 0.000092
112.500000 2.648349 0.000138
115.000000 3.002930 0.000074
117.500000 2.718773 0.000049
120.000000 2.612153 0.000035
122.500000 3.125550 0.000054
125.000000 3.442669 0.000038
127.500000 4.364109 0.000142
130.000000 4.330518 0.000059
132.500000 4.737567 0.000145
135.000000 3.745731 0.000073
137.500000 3.792798 0.000187
140.000000 4.016784 0.000062
142.500000 4.600560 0.000059
145.000000 3.924544 0.000097
147.500000 4.116910 0.000086
150.000000 4.152984 0.000124
152.500000 4.634561 0.000064
155.000000 3.558257 0.000170
157.500000 4.210500 0.000056
160.000000 4.246095 0.000080
162.500000 4.665703 0.000105
165.000000 4.557034 0.000077
167.500000 5.226171 0.000170
170.000000 6.195246 0.000141
172.500000 7.498182 0.000113
175.000000 8.291667 0.000072
177.500000 8.742495 0.000149
180.000000 8.665041 0.000175
182.500000 7.809146 0.000189
185.000000 7.391365 0.000156
187.500000 8.217742 0.000126
190.000000 6.696525 0.000131
192.500000 6.810337 0.000270
195.000000 6.360639 0.000048
197.500000 7.271572 0.000069
200.000000 8.818834 0.000096
202.500000 8.114001 0.000168
205.000000 8.057740 0.000155
207.500000 8.673565 0.000413
210.000000 8.365258 0.000405
212.500000 8.599343 0.000270
215.000000 9.511728 0.000118
217.500000 10.331411 0.000058
220.000000 10.128213 0.000140
222.500000 10.383785 0.000119
225.000000 11.827365 0.000222
227.500000 13.669939 0.002155
230.000000 11.933811 0.000471
232.500000 12.374597 0.002439
235.000000 10.196427 0.000102
237.500000 9.931068 0.000101
240.000000 10.941213 0.000089
242.500000 12.398925 0.000064
245.000000 11.997773 0.000098
247.500000 11.630818 0.000067
250.000000 11.676615 0.000312
252.500000 12.149052 0.000132
255.000000 11.814988 0.000069
257.500000 11.643997 0.000112
260.000000 11.859617 0.000305
262.500000 12.500783 0.000071
265.000000 13.434512 0.000362
267.500000 15.015085 0.000472
270.000000 15.717512 0.000231
272.500000 14.777400 0.000183
275.000000 14.865916 0.000326
277.500000 15.674182 0.000317
280.000000 15.045875 0.000150
282.500000 14.742566 0.000279
285.000000 13.496397 0.000145
287.500000 13.564431 0.000137
290.000000 13.053359 0.000358
292.500000 14.218555 0.000113
295.000000 15.060332 0.000125
297.500000 17.931576 0.000301
300.000000 16.252387 0.000257
302.500000 15.703001 0.001521
305.000000 16.173613 0.000601
307.500000 14.183694 0.000436
310.000000 15.170165 0.001117
312.500000 16.677091 0.000124
315.000000 17.896877 0.000329
317.500000 17.530155 0.000306
320.000000 15.822011 0.000192
322.500000 16.106270 0.000213
325.000000 19.497678 0.000376
327.500000 20.559832 0.000319
330.000000 17.795556 0.000104
332.500000 15.897687 0.000087
335.000000 16.732763 0.000539
337.500000 18.059229 0.000125
340.000000 19.336469 0.000431
342.500000 18.799428 0.000296
345.000000 19.806737 0.000576
347.500000 19.653014 0.000221
350.000000 18.767439 0.000147
352.500000 20.808913 0.000369
355.000000 20.129091 0.000293
357.500000 19.067936 0.000485
360.000000 21.046998 0.000487
362.500000 19.165151 0.000165
365.000000 19.711428 0.000135
367.500000 22.007169 0.000165
370.000000 22.159641 0.000432
372.500000 21.743586 0.000233
375.000000 23.092569 0.000173
377.500000 25.151483 0.000071
380.000000 25.771866 0.000102
382.500000 25.026234 0.000171
385.000000 25.851788 0.000187
387.500000 23.763791 0.000133
390.000000 24.560143 0.000245
392.500000 20.490010 0.000253
395.000000 18.393238 0.000145
397.500000 19.707566 0.000216
400.000000 20.136461 0.000486
402.500000 20.100176 0.000615
405.000000 19.791757 0.001752
407.500000 18.438631 0.000549
410.000000 19.695740 0.000156
412.500000 21.133320 0.000045
415.000000 18.861464 0.000058
417.500000 17.563182 0.000100
420.000000 17.079204 0.000143
422.500000 17.955915 0.000075
425.000000 16.756171 0.000190
427.500000 16.236430 0.000352
430.000000 15.847413 0.000094
432.500000 16.217296 0.000092
435.000000 19.416677 0.000179
437.500000 19.275231 0.000102
440.000000 19.667325 0.000748
442.500000 18.929360 0.000652
445.000000 17.671902 0.000357
447.500000 18.120824 0.000739
450.000000 21.072405 0.000573
452.500000 20.924070 0.000602
455.000000 21.029307 0.000439
457.500000 22.491436 0.000166
460.000000 21.214667 0.000387
462.500000 21.630516 0.000251
465.000000 22.992788 0.000198
467.500000 22.934454 0.000391
470.000000 23.548645 0.001015
472.500000 22.001675 0.000262
475.000000 23.713292 0.000328
477.500000 24.269695 0.000341
480.000000 27.184583 0.000429
482.500000 27.112481 0.000242
485.000000 24.727155 0.000805
487.500000 24.479107 0.002072
490.000000 24.613562 0.000522
492.500000 26.363999 0.000165
495.000000 25.888895 0.000242
497.500000 28.045984 0.000185
500.000000 25.587478 0.000207
502.500000 23.098744 0.000177
505.000000 18.842917 0.000157
507.500000 20.602404 0.000642
510.000000 21.928096 0.000185
512.500000 23.917142 0.000250
515.000000 25.860747 0.000219
517.500000 23.835100 0.000150
520.000000 21.554525 0.000154
522.500000 23.026800 0.000168
525.000000 23.937749 0.000212
527.500000 21.332397 0.000417
530.000000 21.161499 0.000142
532.500000 23.694093 0.000086
535.000000 22.360623 0.000350
537.500000 22.807514 0.000153
540.000000 20.992024 0.000202
542.500000 21.498885 0.000380
545.000000 22.832551 0.000480
547.500000 22.057244 0.000450
550.000000 22.867939 0.000258
552.500000 23.070189 0.000432
555.000000 21.276376 0.000176
557.500000 20.279662 0.000172
560.000000 21.352156 0.000123
562.500000 23.608053 0.000095
565.000000 24.362136 0.000140
567.500000 25.267859 0.000192
570.000000 24.715199 0.000389
572.500000 23.729775 0.002057
575.000000 22.462445 0.001173
577.500000 23.728062 0.000486
580.000000 23.716349 0.000294
582.500000 23.436849 0.000354
585.000000 26.490317 0.000208
587.500000 26.022806 0.000127
590.000000 22.931736 0.000183
592.500000 25.009886 0.000189
595.000000 24.394551 0.000260
597.500000 27.142250 0.000174
600.000000 28.483752 0.000255
602.500000 30.427589 0.000277
605.000000 28.811476 0.001356
607.500000 26.297637 0.000136
610.000000 28.886494 0.000297
612.500000 27.825262 0.000623
615.000000 28.927539 0.000751
617.500000 27.170789 0.000362
620.000000 26.589976 0.000270
622.500000 27.208654 0.000261
625.000000 29.511998 0.000106
627.500000 27.379987 0.000100
630.000000 28.813023 0.000211
632.500000 29.199389 0.000119
635.000000 28.588337 0.000478
637.500000 28.569909 0.000164
640.000000 26.735480 0.000794
642.500000 25.276191 0.001377
645.000000 26.768727 0.000413
647.500000 28.036130 0.000134
650.000000 26.646677 0.000150
652.500000 29.591269 0.000139
655.000000 33.390280 0.000249
657.500000 32.528619 0.000232
660.000000 29.434698 0.000274
662.500000 28.329320 0.000176
665.000000 26.603829 0.000121
667.500000 23.725570 0.000263
670.000000 22.816951 0.000095
672.500000 25.570307 0.000260
675.000000 23.690048 0.000156
677.500000 26.170556 0.000136
680.000000 27.613957 0.000071
682.500000 30.665811 0.000456
685.000000 25.140858 0.000203
687.500000 25.430630 0.000085
690.000000 28.131785 0.000121
692.500000 28.797814 0.000086
695.000000 26.972501 0.000616
697.500000 26.899683 0.000441
700.000000 28.364844 0.000335
702.500000 30.070346 0.000265
705.000000 29.400048 0.000081
707.500000 30.869465 0.000205
710.000000 28.370221 0.000373
712.500000 26.039158 0.000122
715.000000 24.547973 0.000126
717.500000 26.755270 0.000081
720.000000 27.928276 0.000078
722.500000 27.229338 0.000091
725.000000 28.642120 0.000220
727.500000 29.169873 0.000289
730.000000 28.259168 0.000063
732.500000 26.961850 0.000089
735.000000 25.059444 0.000178
737.500000 24.578669 0.000094
740.000000 23.559178 0.000156
742.500000 27.739670 0.001751
745.000000 27.001614 0.000588
747.500000 27.415552 0.000487
750.000000 27.405876 0.001108
752.500000 28.820399 0.000895
755.000000 30.117017 0.000227
757.500000 28.011094 0.000939
760.000000 26.748359 0.007344
762.500000 29.058691 0.000775
765.000000 29.146840 0.000259
767.500000 26.773380 0.000190
770.000000 27.015398 0.000379
772.500000 27.276684 0.000362
775.000000 28.612817 0.000207
777.500000 28.701001 0.000139
780.000000 26.070223 0.000097
782.500000 26.771142 0.000082
785.000000 28.469341 0.000365
787.500000 28.459822 0.000068
790.000000 25.522853 0.000329
792.500000 26.724785 0.000552
795.000000 27.680341 0.000157
797.500000 25.542916 0.000158
800.000000 24.785138 0.000497
802.500000 25.153499 0.000350
805.000000 25.538059 0.000325
807.500000 27.713930 0.000136
810.000000 23.738732 0.000159
812.500000 23.851247 0.000236
815.000000 26.214676 0.000132
817.500000 26.953848 0.000151
820.000000 26.240420 0.000442
822.500000 27.404938 0.002326
825.000000 27.653510 0.000628
827.500000 26.552593 0.000089
830.000000 23.042011 0.000107
832.500000 23.077264 0.000444
835.000000 22.882649 0.000593
837.500000 22.649172 0.000192
840.000000 26.620535 0.002132
842.500000 25.211754 0.000736
845.000000 26.069328 0.000232
847.500000 26.020924 0.000879
850.000000 26.365696 0.000577
852.500000 25.507285 0.000134
855.000000 24.632848 0.000181
857.500000 24.963830 0.000512
860.000000 27.255104 0.000220
862.500000 27.168386 0.000365
865.000000 28.048536 0.000278
867.500000 29.523967 0.001311
870.000000 27.923599 0.000175
872.500000 30.382055 0.000153
875.000000 31.596757 0.000262
877.500000 30.222183 0.000167
880.000000 29.493978 0.000325
882.500000 29.466901 0.000321
885.000000 31.250649 0.000353
887.500000 31.441197 0.000478
890.000000 29.038494 0.000263
892.500000 27.207470 0.001138
895.000000 30.566914 0.000294
897.500000 31.641684 0.000694
900.000000 31.807991 0.000219
902.500000 34.646452 0.000431
